iso3,lat,lon,adminid,pop,closest_dist_0,closest_dist_1,closestid0,closestid1,id
COL,1.604166667,-78.3125,COL.21.5_1_gadm36,511.2637939,4565.649101,4565.649101,1023195,1023195,208
COL,1.5625,-78.27083333,COL.21.5_1_gadm36,1179.768188,5247.366341,5247.366341,1010452,1010452,221
COL,1.520833333,-78.27083333,COL.21.5_1_gadm36,1155.973633,7937.229225,7937.229225,541238,541238,223
COL,1.479166667,-78.27083333,COL.21.5_1_gadm36,1071.386963,5479.276289,5479.276289,540695,540695,224
COL,1.645833333,-78.27083333,COL.21.5_1_gadm36,522.5430908,2531.408899,2531.408899,1010479,1010479,234
COL,1.729166667,-78.27083333,COL.21.5_1_gadm36,493.7645874,2644.503772,4552.856967,1010514,681697,235
COL,1.4375,-78.35416667,COL.21.5_1_gadm36,1423.477051,1983.859252,1983.859252,541215,541215,172
COL,1.229166667,-78.39583333,COL.21.46_1_gadm36,372.3374939,5609.276374,5609.276374,1010868,1010868,169
COL,1.3125,-78.39583333,COL.21.46_1_gadm36,372.3252563,3284.948995,3284.948995,540683,540683,170
COL,1.1875,-78.35416667,COL.21.46_1_gadm36,333.0483704,9728.259042,9728.259042,1010868,1010868,193
COL,1.270833333,-78.35416667,COL.21.46_1_gadm36,333.0378113,1933.413452,1933.413452,1010868,1010868,194
COL,1.354166667,-78.35416667,COL.21.46_1_gadm36,362.9206238,5415.657018,5415.657018,1010493,1010493,195
COL,1.0625,-78.3125,COL.21.46_1_gadm36,414.2898254,5739.115173,5739.115173,1010372,1010372,215
COL,1.145833333,-78.3125,COL.21.46_1_gadm36,337.5604858,7906.948007,7906.948007,1010406,1010406,217
COL,1.229166667,-78.3125,COL.21.46_1_gadm36,332.6533813,8178.794741,8178.794741,1010868,1010868,219
COL,1.0625,-78.27083333,COL.21.46_1_gadm36,438.4882202,1117.332124,1117.332124,1010372,1010372,239
COL,1.020833333,-78.27083333,COL.21.46_1_gadm36,427.5009155,3694.322968,3694.322968,1010408,1010408,243
COL,2.1875,-78.35416667,COL.21.39_1_gadm36,809.1231079,2782.452363,2782.452363,1010319,1010319,173
COL,2.270833333,-78.35416667,COL.21.39_1_gadm36,783.8302002,626.4291135,626.4291135,1023333,1023333,174
COL,2.145833333,-78.35416667,COL.21.39_1_gadm36,806.7546997,619.5936866,619.5936866,1010294,1010294,175
COL,2.354166667,-78.35416667,COL.21.39_1_gadm36,747.8135986,553.3293436,553.3293436,1010297,1010297,176
COL,2.479166667,-78.35416667,COL.21.39_1_gadm36,574.1901245,1886.092998,1886.092998,1011056,1011056,178
COL,2.4375,-78.35416667,COL.21.39_1_gadm36,561.1109009,5920.982402,6134.808315,1011060,1010296,181
COL,2.0625,-78.35416667,COL.21.39_1_gadm36,555.6693726,2673.684253,2673.684253,1023198,1023198,184
COL,2.020833333,-78.35416667,COL.21.39_1_gadm36,500.2088928,7302.756703,7302.756703,1023198,1023198,186
COL,2.104166667,-78.3125,COL.21.39_1_gadm36,834.4736328,4764.536601,4764.536601,1010527,1010527,199
COL,2.1875,-78.3125,COL.21.39_1_gadm36,834.4277344,6021.845401,6021.845401,1010294,1010294,200
COL,2.270833333,-78.3125,COL.21.39_1_gadm36,834.3800049,3453.895829,3453.895829,1023336,1023336,201
COL,2.354166667,-78.3125,COL.21.39_1_gadm36,728.9278564,998.5827734,998.5827734,1010311,1010311,204
COL,2.0625,-78.3125,COL.21.39_1_gadm36,803.0578003,5428.344773,5428.344773,1023198,1023198,205
COL,2.020833333,-78.3125,COL.21.39_1_gadm36,640.8696899,6685.04348,8697.653579,1011035,1023198,209
COL,1.979166667,-78.3125,COL.21.39_1_gadm36,501.1333008,8066.313998,12833.90692,1011035,1023198,212
COL,2.0625,-78.27083333,COL.21.39_1_gadm36,883.2383423,5171.698947,9726.60399,1011035,1023198,225
COL,2.145833333,-78.27083333,COL.21.39_1_gadm36,883.1906128,6129.583015,6287.120467,1010696,1011288,226
COL,2.229166667,-78.27083333,COL.21.39_1_gadm36,883.1411133,2296.677986,2296.677986,1013466,1013466,227
COL,2.3125,-78.27083333,COL.21.39_1_gadm36,883.0897827,1243.167914,1243.167914,1010329,1010329,228
COL,2.604166667,-78.3125,COL.21.16_1_gadm36,584.7573242,2279.723732,2279.723732,1011050,1011050,206
COL,2.5625,-78.3125,COL.21.16_1_gadm36,674.7738647,5261.544901,5678.555691,1011057,1011050,207
COL,2.5625,-78.27083333,COL.21.16_1_gadm36,820.7929077,3632.940793,3632.940793,1009948,1009948,231
COL,2.645833333,-78.27083333,COL.21.55_1_gadm36,309.5084534,1590.457635,1590.457635,541195,541195,233
COL,1.145833333,-78.39583333,COL.21.46_1_gadm36,372.348877,14426.38284,14426.38284,1010868,1010868,168
COL,2.0625,-78.39583333,COL.21.47_1_gadm36,550.8344727,5258.498524,7036.478966,1023198,1010525,163
COL,1.9375,-78.39583333,COL.21.47_1_gadm36,501.1022339,2279.289335,2279.289335,1010515,1010515,165
COL,1.895833333,-78.39583333,COL.21.47_1_gadm36,506.4488831,617.1125767,617.1125767,1023212,1023212,166
COL,1.854166667,-78.39583333,COL.21.47_1_gadm36,499.889801,4245.351602,4245.351602,1023212,1023212,167
